YEAR,COUNTRY,JOB_CATEGORY,PHONE_SCREENING,INTERVIEW,OFFER
2019,United States,Linguistics,,,
2019,United States,Linguistics,1,,
2019,United Kingdom,Linguistics,1,1,
2019,Poland,Linguistics,1,1,1
2019,United Kingdom,Linguistics,,,
2019,United States,Linguistics,,,
2019,United Kingdom,Linguistics,1,,
2019,United Kingdom,Linguistics,1,1,
2019,Poland,Project Management,1,1,
2019,United Kingdom,Project Management,,,
2019,Poland,Customer Service,,,
2019,Poland,Linguistics,1,1,1
2019,China,Linguistics,,,
2019,Poland,Analysis - other,1,1,
2019,Spain,Linguistics,,,
2019,United States,Linguistics,,,
2019,Ireland,Linguistics,1,1,
2019,Poland,Marketing,,,
2019,Poland,Project Management,,,
2019,Poland,Project Management,,,
2019,Poland,Project Management,,,
2019,Poland,Project Management,,,
2019,Poland,HR,1,,
2019,Poland,Project Management,,,
2019,Poland,HR,,,
2019,Poland,Teaching,,,
2019,Poland,Teaching,,,
2019,Poland,Teaching,,,
2019,Poland,Project Management,,,
2019,Poland,Legal,1,1,
2019,Poland,Teaching,1,,
2019,Poland,Linguistics,1,,
2019,Poland,Linguistics,1,,
2020,Poland,Business Analysis,,,
2020,Poland,Data Analysis,,,
2020,Poland,Data Analysis,,,
2020,Poland,Data Analysis,,,
2020,Poland,Business Analysis,,,
2020,Poland,Technical Writing,,,
2020,Poland,Customer Service,,,
2020,Poland,Customer Service,,,
2020,Poland,Linguistics,1,1,
2020,Poland,Linguistics,,,
2020,Poland,Analysis - other,,,
2020,Poland,Sales,,,
2020,Poland,Data Analysis,,,
2020,Poland,Business Analysis,,,
2020,Poland,Data Analysis,,,
2020,Slovakia,Linguistics,,,
2020,Poland,Analysis - other,,,
2020,Poland,Business Analysis,,,
2020,Poland,Analysis - other,,,
2020,Poland,Analysis - other,,,
2020,Poland,Linguistics,1,,
2020,Poland,HR,,,
2020,Poland,SQL,,,
2020,Poland,Customer Service,,,
2020,Poland,Business Analysis,,,
2020,Poland,Customer Service,,,
2020,Poland,Sales,,,
2020,Poland,Project Management,,,
2020,Poland,Analysis - other,,,
2020,Poland,Analysis - other,,,
2020,Poland,Data Analysis,,,
2020,Poland,Data Analysis,,,
2020,Poland,QA,1,1,
2020,Poland,HR,,,
2020,Poland,Technical Writing,,,
2020,Poland,Technical Writing,,,
2020,Poland,Analysis - other,,,
2020,Poland,Business Analysis,,,
2020,Poland,HR,,,
2020,Poland,Technical Writing,,,
2020,Poland,Analysis - other,,,
2020,Poland,HR,,,
2020,Poland,Business Analysis,,,
2020,Poland,Customer Service,,,
2020,Poland,HR,,,
2020,Poland,Data Analysis,,,
2020,Poland,HR,,,
2020,Poland,Technical Writing,,,
2020,Poland,Business Analysis,1,1,
2020,Poland,Technical Writing,1,1,1
2020,Poland,Technical Writing,1,1,
2020,Poland,Technical Writing,,,
2020,Poland,Customer Service,,,
2020,Poland,Technical Writing,,,
2020,Poland,Technical Writing,,,
2020,Poland,Analysis - other,,,
2020,Poland,Analysis - other,,,
2020,Poland,Data Analysis,1,1,
2020,Poland,Analysis - other,,,
2020,Poland,Sales,,,
2020,Poland,Data Science,1,,
2020,Switzerland,Linguistics,,,
2020,Poland,Data Analysis,1,1,
2020,Poland,Data Analysis,,,
2020,Poland,Network,1,,
2020,Poland,QA,1,,
2020,Poland,Sales,1,1,1
2020,Poland,Data Analysis,,,
2020,Poland,Data Analysis,1,,
2020,Poland,Analysis - other,,,
2020,Poland,Data Analysis,,,
2020,Poland,Data Analysis,,,
2020,Poland,Analysis - other,,,
2020,Poland,Analysis - other,,,
2020,Poland,Sales,,,
2020,Poland,SQL,1,1,
2020,Poland,Business Analysis,,,
2020,Poland,Data Analysis,,,
2020,Poland,Linguistics,,,
2020,Poland,Analysis - other,1,1,
2020,Poland,Project Management,,,
2020,Poland,Project Management,1,,
2020,Poland,Analysis - other,,,
2020,Poland,Technical Writing,1,1,
2020,Poland,QA,1,1,1
2020,Poland,Technical Writing,1,1,1
2020,Poland,Project Management,,,
2020,Poland,Technical Writing,,,
2020,Poland,Data Science,1,,
